Feed,Cases,Standard Message,Summary Message,type,language
ProFeed,"16, 26, 17, 27",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar, Low Albumin, repeated Infections, skin ,hair and joint problems",S,EN
ProFeed,"36, 37",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to extreme Weight Gain, obesity, risk of High Blood Sugar,Lower immunity. decrease food intake gradually",S,EN
ProFeed,"66, 67, 76, 77",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead extreme Weight Gain, nausea and indigestion,Inflammation, Metabolic Stress, Kidney Overload.decrease food intake gradually",S,EN
ProFeed,43,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,This may lead to weakness and weight loss,S,EN
ProFeed,"11, 21, 31, 41, 12, 22, 32, 42",Increase the consumption of ,"Energy Dense food like FRUITS, NUTS, DATES, GHEE, LASSI, MILK SHAKES, ICE CREAM. Try to increase the quantity of food intake gradually. CONSUME FOOD 6- 8 TIMES DAILY. Compulsorily consume FORMULA FEED to improve nutrition and health status
",D,EN
ProFeed,"51, 61, 71, 52, 62, 72",Increase the consumption of ,"Energy Dense food like FRUITS, NUTS, DATES, GHEE, LASSI, MILK SHAKES, ICE CREAM. Try to increase the quantity of food intake gradually. CONSUME FOOD 6- 8 TIMES DAILY. Compulsorily consume FORMULA FEED to improve nutrition and recovery
",D,EN
ProFeed,"13, 23, 33, 43, 14, 24, 34, 15, 25, 35, 16, 26, 17, 27",Increase the consumption of ,"protein Rich food like MILK, EGG WHITE, SOYA CHUNKS, NUTS AND PULSES to increase protein content",D,EN
ProFeed,"53, 63, 73, 64, 74",Increase the consumption of ,"Carboydrate Rich food like Fruits - Apple, Banana, Orange. Vegetables - Beetroot, Carrot, Sweet Potato to increase carbohydrates in your meal",D,EN
ProFeed,"44, 54, 45, 46, 47, 55, 56, 57, 65, 75, 66, 67, 76, 77, 36, 37",Increase the consumption of ,-,D,EN
ProFeed,"11, 21, 31, 41, 12, 22, 32, 42, 51, 13, 23, 33, 43, 44",Decrease the consumption of ,-,I,EN
ProFeed,"61, 71, 52, 62, 72, 53, 63, 73, 64, 74, 54, 55, 65, 75, 66, 67, 76, 77",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have HIGHER PROTEIN CONTENT.",I,EN
ProFeed,"14, 24, 34, 15, 25, 35, 16, 26, 36, 17, 27, 37,",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have relatively higher calories and lower protein. Replace them with PROTEIN RICH FOODS",I,EN
ProFeed,"45, 46, 47, 56, 57",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have relatively higher calories",I,EN
OncoFeed,"11, 21, 31, 41, 12, 22, 32, 42",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Severe weakness, Serious Infections ,Poor Recovery and response to treatment, health complications. Food intake should be immediately increased",S,EN
OncoFeed,"51, 61, 71, 52, 62, 72",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to weakness, Metabolic stress, nausea,indigestion, Kidney Stones and Overload.Poor Recovery and response to treatment, health complications. Food intake should be immediately increased",S,EN
OncoFeed,"13, 23, 33,",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to malnutrition, Lowered Immunity & Poor Recovery, wound infections and poor healing",S,EN
OncoFeed,"53, 63, 73",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Metabolic stress, Kidney Stones and Overload, nausea, and indigestion",S,EN
OncoFeed,14,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Low Albumin, Poor recovery,poor healing, Infections, risk of High Blood Sugar.",S,EN
OncoFeed,"24, 34",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weak muscles, joint problems, hairfall, skin problems, recurrent infections, Slow healing and recovery",S,EN
OncoFeed,"44,54",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,Congratulations!! Keep It Up!,S,EN
OncoFeed,"64, 74",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Metabolic stress, Kidney Stones and Overload, inflammation,nausea and indigestion",S,EN
OncoFeed,"15, 25",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, hairfall, skin problems, recurrent infections, Slow healing and slow recovery",S,EN
OncoFeed,35,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,high blood sugar, Weaker Joints and Muscles, hair and skin problem",S,EN
OncoFeed,"45, 46,47",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,This may lead to Weight Gain. Decrease food intake gradually,S,EN
OncoFeed,"55, 56, 57",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,Indigestion, nausea, metabolic stress.Decrease food intake gradually",S,EN
OncoFeed,"65, 75",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to This may lead to nausea and indigestion,Weight Gain, Metabolic Stress .",S,EN
OncoFeed,"16, 26, 17, 27",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar, Weak muscles, joint problems, hairfall, skin problems, Slow healing and recovery.",S,EN
OncoFeed,"36, 37",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar,Lower immunity. Decrease food intake gradually",S,EN
OncoFeed,"66, 67, 76, 77",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to extreme Weight Gain, Inflammation, Metabolic Stress, nausea and indigestion",S,EN
OncoFeed,43,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,this may lead to weakness and weight loss,S,EN
OncoFeed,"11, 21, 31, 41, 12, 22, 32, 42",Increase the consumption of ,"Energy Dense food like FRUITS, NUTS, DATES,SWEETS,BISCUIT, GHEE, LASSI, MILK SHAKES, ICE CREAM. Try to increase the quantity of food intake gradually. CONSUME FOOD 6- 8 TIMES DAILY. Compulsorily consume FORMULA FEED to improve nutrition and recovery
",D,EN
OncoFeed,"51, 61, 71, 52, 62, 72",Increase the consumption of ,"Energy Dense food like FRUITS, NUTS, DATES, SWEETS, BISCUITS, GHEE, LASSI, MILK SHAKES, ICE CREAM. Try to increase the quantity of food intake gradually. CONSUME FOOD 6- 8 TIMES DAILY. Compulsorily consume FORMULA FEED to improve nutrition and recovery
",D,EN
OncoFeed,"13, 23, 33, 43, 14, 24, 34, 15, 25, 35, 16, 26, 17, 27",Increase the consumption of ,"protein Rich food like MILK, EGG WHITE, SOYA CHUNKS, NUTS AND PULSES to increase protein content",D,EN
OncoFeed,"53, 63, 73, 64, 74",Increase the consumption of ,"Carboydrate Rich food like Fruits - Apple, Banana, Orange. Vegetables - Beetroot, Carrot, Sweet Potato, SWEETS to increase carbohydrates in your meal",D,EN
OncoFeed,"44, 54, 45, 46, 47, 55, 56, 57, 65, 75, 66, 67, 76, 77, 36, 37",Increase the consumption of ,-,D,EN
OncoFeed,"11, 21, 31, 41, 12, 22, 32, 42, 51, 13, 23, 33, 43, 44",Decrease the consumption of ,-,I,EN
OncoFeed,"61, 71, 52, 62, 72, 53, 63, 73, 64, 74, 54, 55, 65, 75, 66, 67, 76, 77",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have more than required protein content.",I,EN
OncoFeed,"14, 24, 34, 15, 25, 35, 16, 26, 36, 17, 27, 37,",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have relatively higher calories and lower protein.",I,EN
OncoFeed,"45, 46, 47, 56, 57",Decrease the consumption of ,-,I,EN
ElderFeed,"11, 21, 31, 41, 12, 22, 32, 42",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Severe malnutrition, weakness, confusion, Serious Infections, Organ dysfunction.Food intake should be immediately increased",S,EN
ElderFeed,"51, 61, 71, 52, 62, 72",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Malnutrition,weakness, confusion, Metabolic stress, Kidney Stones and Overload",S,EN
ElderFeed,"13, 23, 33,",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to malnutrition, Lowered Immunity ,Weak muscles,skin ,hair and joint problems",S,EN
ElderFeed,"53, 63, 73",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to mild weakness,nausea,indigestion, Metabolic stress, Kidney Stones and Overload,",S,EN
ElderFeed,14,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Low Albumin, Swelling, Infections, risk of High Blood Sugar, fatty liver",S,EN
ElderFeed,"24, 34",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weaker muscles, joint problems, hairfall, skin problems, recurrent infections.",S,EN
ElderFeed,"44,54",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,Congratulations!! Keep It Up!,S,EN
ElderFeed,"64, 74",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Metabolic stress, Kidney Stones and Overload, inflammation,nausea,indigestion",S,EN
ElderFeed,"15, 25",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Low Albumin, Weight Gain, Joints Problems, risk of High Blood Sugar, fatty liver.",S,EN
ElderFeed,35,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, Weaker Joints and Muscles, risk of High Blood Sugar.",S,EN
ElderFeed,"45, 46,47",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, obesity. decrease food intake gradually",S,EN
ElderFeed,"55, 56, 57",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,obesity, Indigestion. Decrease food intake gradually",S,EN
ElderFeed,"65, 75",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to nausea and indigestion,Weight Gain, kidney overload & Kidney Stones, Metabolic Stress .",S,EN
ElderFeed,"16, 26, 17, 27",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar, Low Albumin, repeated Infections, skin ,hair and joint problems",S,EN
ElderFeed,"36, 37",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to extreme Weight Gain, risk of High Blood Sugar,Lower immunity.decrease food intake gradually",S,EN
ElderFeed,"66, 67, 76, 77",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead extreme Weight Gain, nausea and indigestion,Inflammation, Metabolic Stress, Kidney Overload.decrease food intake gradually",S,EN
ElderFeed,43,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,This may lead to weakness and weight loss,S,EN
ElderFeed,"11, 21, 31, 41, 12, 22, 32, 42",Increase the consumption of ,"Nutrient Dense food like Ice Cream, Sweets, Fruit juices, Ghee, Dates and Nuts. Eat smaller and More frequent meals every 2hours.",D,EN
ElderFeed,"51, 61, 71, 52, 62, 72",Increase the consumption of ,"Nutrient Dense food like Ice Cream, Sweets, Fruit juices, Ghee, Dates and Nuts. Eat smaller and More frequent meals every 2hours",D,EN
ElderFeed,"13, 23, 33, 43, 14, 24, 34, 15, 25, 35, 16, 26, 17, 27",Increase the consumption of ,"protein Rich food like Milk, Egg White, Soya chunks.",D,EN
ElderFeed,"53, 63, 73, 64, 74",Increase the consumption of ,"Carboydrate Rich food like Fruits - Apple, Banana, Orange. Vegetables - Beetroot, Carrot, Sweet Potato.",D,EN
ElderFeed,"44, 54, 45, 46, 47, 55, 56, 57, 65, 75, 66, 67, 76, 77, 36, 37",Increase the consumption of ,-,D,EN
ElderFeed,"11, 21, 31, 41, 12, 22, 32, 42, 51, 13, 23, 33, 43, 44",Decrease the consumption of ,-,I,EN
ElderFeed,"61, 71, 52, 62, 72, 53, 63, 73, 64, 74, 54, 55, 65, 75, 66, 67, 76, 77",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have more than required protein content.",I,EN
ElderFeed,"14, 24, 34, 15, 25, 35, 16, 26, 36, 17, 27, 37,",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have relatively higher calories and lower protein.",I,EN
ElderFeed,"45, 46, 47, 56, 57",Decrease the consumption of ,-,I,EN
SurgiFeed,"11, 21, 31, 41, 12, 22, 32, 42",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Severe weakness, Serious Infections ,Poor Recovery and response to treatment, health complications. Food intake should be immediately increased",S,EN
SurgiFeed,"51, 61, 71, 52, 62, 72",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to weakness, Metabolic stress, nausea,indigestion, Kidney Stones and Overload.Poor Recovery and response to treatment, health complications. Food intake should be immediately increased",S,EN
SurgiFeed,"13, 23, 33,",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to malnutrition, Lowered Immunity & Poor Recovery, wound infections and poor healing",S,EN
SurgiFeed,"53, 63, 73",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Metabolic stress, Kidney Stones and Overload, nausea, and indigestion",S,EN
SurgiFeed,14,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Low Albumin, Poor recovery,poor healing, Infections, risk of High Blood Sugar.",S,EN
SurgiFeed,"24, 34",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weak muscles, joint problems, hairfall, skin problems, recurrent infections, Slow healing and recovery",S,EN
SurgiFeed,"44,54",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,Congratulations!! Keep It Up!,S,EN
SurgiFeed,"64, 74",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Metabolic stress, Kidney Stones and Overload, inflammation,nausea and indigestion",S,EN
SurgiFeed,"15, 25",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,high blood sugar, hairfall, skin problems, recurrent infections, Slow healing and slow recovery",S,EN
SurgiFeed,35,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,high blood sugar Weaker Joints and Muscles, hair and skin problem",S,EN
SurgiFeed,"45, 46,47",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,This may lead to Weight Gain. Decrease food intake gradually,S,EN
SurgiFeed,"55, 56, 57",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, Indigestion,metabolic stress, Inflammation.Decrease food intake gradually",S,EN
SurgiFeed,"65, 75",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to nausea and indigestion,Weight Gain, kidney overload & Kidney Stones, Metabolic Stress .",S,EN
SurgiFeed,"16, 26, 17, 27",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar, Poor Recovery, wound infections and poor healing.",S,EN
SurgiFeed,"36, 37",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar,Lower immunity. Decrease food intake gradually",S,EN
SurgiFeed,"66, 67, 76, 77",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to extreme Weight Gain, nausea and indigestion,Inflammation, Metabolic Stress, Kidney Overload.decrease food intake gradually ",S,EN
SurgiFeed,43,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,this may lead to weakness and weight loss,S,EN
SurgiFeed,"11, 21, 31, 41, 12, 22, 32, 42",Increase the consumption of ,"Nutrient Dense food like Ice Cream, Sweets, Fruit juices, Ghee, Dates and Nuts. Eat More frequent meals.",D,EN
SurgiFeed,"51, 61, 71, 52, 62, 72",Increase the consumption of ,"Nutrient Dense food like Ice Cream, Sweets, Fruit juices, Ghee, Dates and Nuts. Eat More frequent meals.",D,EN
SurgiFeed,"13, 23, 33, 43, 14, 24, 34, 15, 25, 35, 16, 26, 17, 27",Increase the consumption of ,"protein Rich food like Milk, Egg White, Soya chunks.",D,EN
SurgiFeed,"53, 63, 73, 64, 74",Increase the consumption of ,"Carboydrate Rich food like Fruits - Apple, Banana, Orange. Vegetables - Beetroot, Carrot, Sweet Potato.",D,EN
SurgiFeed,"44, 54, 45, 46, 47, 55, 56, 57, 65, 75, 66, 67, 76, 77, 36, 37",Increase the consumption of ,-,D,EN
SurgiFeed,"11, 21, 31, 41, 12, 22, 32, 42, 51, 13, 23, 33, 43, 44",Decrease the consumption of ,-,I,EN
SurgiFeed,"61, 71, 52, 62, 72, 53, 63, 73, 64, 74, 54, 55, 65, 75, 66, 67, 76, 77",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have more than required protein content.",I,EN
SurgiFeed,"14, 24, 34, 15, 25, 35, 16, 26, 36, 17, 27, 37,",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have relatively higher calories and lower protein.",I,EN
SurgiFeed,"45, 46, 47, 56, 57",Decrease the consumption of ,-,I,EN
RenalFeed,"11, 21, 31, 41, 12, 22, 32, 42",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Severe weakness, Serious Infections ,Poor Recovery and response to treatment, health complications. Food intake should be immediately increased",S,EN
RenalFeed,"51, 61, 71, 52, 62, 72",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to weakness, Metabolic stress, nausea,indigestion, Kidney Stones and Overload.Poor Recovery and response to treatment, health complications. Food intake should be immediately increased",S,EN
RenalFeed,"13, 23, 33,",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to malnutrition, Lowered Immunity & Poor Recovery, wound infections and poor healing",S,EN
RenalFeed,"53, 63, 73",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Metabolic stress, Kidney Stones and Overload, nausea, and indigestion",S,EN
RenalFeed,14,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Low Albumin, Poor recovery,poor healing, Infections, risk of High Blood Sugar.",S,EN
RenalFeed,"24, 34",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weak muscles, joint problems, hairfall, skin problems, recurrent infections, Slow healing and recovery",S,EN
RenalFeed,"44,54",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,Congratulations!! Keep It Up!,S,EN
RenalFeed,"64, 74",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Metabolic stress, Kidney Stones and Overload, inflammation,nausea and indigestion",S,EN
RenalFeed,"15, 25",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,high blood sugar, hairfall, skin problems, recurrent infections, Slow healing and slow recovery",S,EN
RenalFeed,35,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,high blood sugar Weaker Joints and Muscles, hair and skin problem",S,EN
RenalFeed,"45, 46,47",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar. Decrease food intake gradually",S,EN
RenalFeed,"55, 56, 57",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,high blood sugar, Indigestion,metabolic stress, Inflammation.Decrease food intake gradually",S,EN
RenalFeed,"65, 75",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to nausea and indigestion,Weight Gain, kidney overload , Metabolic Stress.",S,EN
RenalFeed,"16, 26, 17, 27",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar, Weak muscles, joint problems, hairfall, skin problems.",S,EN
RenalFeed,"36, 37",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar,Lower immunity. Decrease food intake gradually",S,EN
RenalFeed,"66, 67, 76, 77",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to extreme Weight Gain, nausea and indigestion,Inflammation, Metabolic Stress, Kidney Overload.decrease food intake gradually ",S,EN
RenalFeed,43,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,this may lead to weakness and weight loss,S,EN
RenalFeed,"11, 21, 31, 41, 12, 22, 32, 42",Increase the consumption of ,"Nutrient Dense food like Ice Cream, Sweets, Fruit juices, Ghee, Dates and Nuts. Eat More frequent meals.",D,EN
RenalFeed,"51, 61, 71, 52, 62, 72",Increase the consumption of ,"Nutrient Dense food like Ice Cream, Sweets, Fruit juices, Ghee, Dates and Nuts. Eat More frequent meals.",D,EN
